CustomerID,Gender,SeniorCitizen,Partner,Dependants,TenureMonths,MonthlyCharges,TotalCharges_clean,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,PaperlessBilling,FiberOpticFlag,MonthlyContractFlag,EstimatedRevenue,TenureSegment,ChurnValue,ChurnProbability,ChurnRiskPercent
0056-EPFBG,Male,No,Yes,Yes,20,39.4,825.4,DSL,Yes,No,Yes,Yes,No,No,Two year,Credit card (automatic),Yes,0,0,788.0,Established,0,0.009889254,0.99
0057-QBUQH,Female,No,No,Yes,43,25.1,1070.15,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Electronic check,Yes,0,0,1079.3,Loyal,0,0.0075160926,0.75
0058-EVZWM,Female,No,Yes,No,55,89.8,4959.6,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Bank transfer (automatic),Yes,1,1,4939.0,Loyal,0,0.232476,23.25
0060-FUALY,Female,No,Yes,No,59,94.75,5597.65,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Electronic check,Yes,1,1,5590.25,Loyal,0,0.27362266,27.36
0064-SUDOG,Female,No,Yes,Yes,12,20.3,224.5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No,0,0,243.6,Established,0,0.006013104,0.6
0064-YIJGF,Male,No,Yes,Yes,27,75.75,1929.0,Fiber optic,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),Yes,1,1,2045.25,Loyal,0,0.052580707,5.26
0067-DKWBL,Male,Yes,No,No,2,49.25,91.1,DSL,Yes,No,No,No,No,No,Month-to-month,Electronic check,Yes,0,1,98.5,New,1,0.6703793,67.04
0068-FIGTF,Female,No,No,No,27,78.2,2078.95,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Mailed check,No,0,0,2111.4,Loyal,0,0.07733844,7.73
0071-NDAFP,Male,No,Yes,Yes,25,25.5,630.6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No,0,0,637.5,Loyal,0,0.002487418,0.25
0074-HDKDG,Male,No,Yes,No,25,61.6,1611.0,DSL,Yes,Yes,Yes,No,No,No,One year,Bank transfer (automatic),Yes,0,0,1540.0,Loyal,0,0.076476075,7.65
0076-LVEPS,Male,No,No,Yes,29,45.0,1242.45,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Mailed check,Yes,0,1,1305.0,Loyal,0,0.04083973,4.08
0078-XZMHT,Male,No,Yes,No,72,85.15,6316.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),Yes,0,0,6130.8,Loyal,0,0.018988501,1.9
0080-EMYVY,Female,No,No,No,14,51.45,727.85,DSL,No,Yes,No,No,No,No,One year,Credit card (automatic),No,0,0,720.3,Established,0,0.08528681,8.53
0080-OROZO,Female,No,No,No,35,99.25,3532.0,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Electronic check,Yes,1,0,3473.75,Loyal,0,0.28472126,28.47
0082-LDZUE,Male,No,No,No,1,44.3,44.3,DSL,No,No,No,No,No,No,Month-to-month,Mailed check,Yes,0,1,44.3,New,0,0.51903963,51.9
0082-OQIQY,Male,No,No,No,29,94.2,2607.6,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,2731.8,Loyal,0,0.415591,41.56
0083-PIVIK,Male,No,No,No,64,81.25,5567.55,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Electronic check,No,0,0,5200.0,Loyal,0,0.04615866,4.62
0089-IIQKO,Female,No,Yes,Yes,39,99.95,3767.4,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),Yes,1,1,3898.05,Loyal,0,0.049729332,4.97
0093-EXYQL,Female,Yes,No,No,40,91.55,3673.6,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,3662.0,Loyal,0,0.44025424,44.03
0093-XWZFY,Male,No,No,No,40,104.5,4036.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes,1,1,4180.0,Loyal,1,0.4819984,48.2
0094-OIFMO,Female,Yes,No,Yes,11,95.0,1120.3,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,1045.0,Established,1,0.6821812,68.22
0096-BXERS,Female,No,Yes,No,6,50.35,314.55,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,No,0,1,302.1,Established,0,0.41001907,41.0
0096-FCPUF,Male,No,No,No,30,64.5,1888.45,DSL,Yes,No,No,No,No,Yes,Month-to-month,Mailed check,Yes,0,1,1935.0,Loyal,0,0.103811145,10.38
0098-BOWSO,Male,No,No,No,27,19.4,529.8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,Yes,0,1,523.8,Loyal,0,0.13308837,13.31
0100-DUVFC,Male,Yes,Yes,No,70,104.8,7308.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Electronic check,Yes,1,0,7336.0,Loyal,0,0.5630077,56.3
0103-CSITQ,Female,No,Yes,No,57,109.4,6252.7,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),Yes,1,0,6235.8,Loyal,0,0.33023766,33.02
0104-PPXDV,Male,No,Yes,No,58,50.3,2878.55,DSL,No,No,Yes,No,No,No,One year,Credit card (automatic),No,0,0,2917.4,Loyal,0,0.097395614,9.74
0106-GHRQR,Male,No,No,No,16,71.4,1212.1,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Bank transfer (automatic),Yes,0,1,1142.4,Established,0,0.21331578,21.33
0106-UGRDO,Female,No,Yes,No,69,116.0,8182.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,Yes,1,0,8004.0,Loyal,0,0.06420866,6.42
0107-WESLM,Male,No,No,No,1,19.85,19.85,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,Yes,0,1,19.85,New,1,0.61288404,61.29
0107-YHINA,Male,No,No,No,1,99.75,99.75,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,99.75,New,1,0.9548621,95.49
0111-KLBQG,Male,Yes,Yes,Yes,32,93.95,2861.45,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Mailed check,Yes,1,1,3006.4,Loyal,0,0.05795834,5.8
0112-QAWRZ,Male,No,Yes,Yes,16,90.8,1442.2,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),Yes,1,1,1452.8,Established,0,0.090080135,9.01
0112-QWPNC,Male,No,Yes,No,49,84.35,4059.35,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Electronic check,No,0,0,4133.15,Loyal,1,0.18876952,18.88
0114-IGABW,Female,No,Yes,No,71,58.25,4145.9,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No,0,0,4135.75,Loyal,0,0.019687086,1.97
0114-PEGZZ,Female,No,No,No,33,107.55,3645.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,No,1,1,3549.15,Loyal,0,0.30008587,30.01
0114-RSRRW,Female,No,Yes,No,10,19.95,187.75,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),Yes,0,1,199.5,Established,0,0.24928619,24.93
0115-TFERT,Male,No,Yes,No,21,111.2,2317.1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,2335.2,Established,1,0.59956384,59.96
0117-LFRMW,Male,No,Yes,Yes,37,40.2,1448.8,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Bank transfer (automatic),No,0,1,1487.4,Loyal,1,0.120072596,12.01
0118-JPNOY,Female,Yes,No,No,26,85.8,2193.65,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Credit card (automatic),Yes,1,1,2230.8,Loyal,0,0.3801027,38.01
0121-SNYRK,Male,No,No,No,50,35.4,1748.9,DSL,Yes,No,No,Yes,No,No,One year,Mailed check,Yes,0,0,1770.0,Loyal,0,0.025935123,2.59
0122-OAHPZ,Female,No,No,No,7,73.85,511.25,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,Yes,1,1,516.95,Established,1,0.61120313,61.12
0123-CRBRT,Female,No,Yes,No,61,88.1,5526.75,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Mailed check,No,0,0,5374.1,Loyal,0,0.01673946,1.67
0125-LZQXK,Male,No,No,No,15,101.35,1553.95,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,1520.25,Established,1,0.63447297,63.45
0128-MKWSG,Female,No,No,Yes,26,45.8,1147.0,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Mailed check,No,0,1,1190.8,Loyal,0,0.09662098,9.66
0129-KPTWJ,Male,No,Yes,No,72,94.65,6747.35,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,6814.8,Loyal,0,0.22092628,22.09
0129-QMPDR,Male,No,Yes,No,44,20.5,865.05,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),Yes,0,0,902.0,Loyal,0,0.031254746,3.13
0130-SXOUN,Male,No,No,No,66,89.4,5976.9,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Credit card (automatic),No,1,1,5900.4,Loyal,0,0.19394602,19.39
0133-BMFZO,Female,No,No,No,2,86.25,181.65,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Electronic check,Yes,1,1,172.5,New,1,0.5893502,58.94
0134-XWXCE,Female,Yes,No,No,44,74.85,3268.05,DSL,No,No,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No,0,0,3293.4,Loyal,0,0.07281262,7.28
0135-NMXAP,Female,No,No,No,12,89.75,1052.4,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Bank transfer (automatic),Yes,1,1,1077.0,Established,1,0.7254385,72.54
0136-IFMYD,Male,Yes,Yes,No,69,109.95,7634.25,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,Yes,1,0,7586.55,Loyal,0,0.2582445,25.82
0137-OCGAB,Female,No,No,No,1,80.2,80.2,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Mailed check,Yes,1,1,80.2,New,1,0.85814047,85.81
0137-UDEUO,Female,No,No,No,3,19.85,63.75,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No,0,1,59.55,New,1,0.2341404,23.41
0139-IVFJG,Female,No,Yes,No,2,90.35,190.5,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Electronic check,No,1,1,180.7,New,0,0.48868355,48.87
0141-YEAYS,Female,Yes,No,No,27,86.45,2401.05,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Bank transfer (automatic),Yes,1,1,2334.15,Loyal,0,0.42395943,42.4
0142-GVYSN,Male,No,No,No,26,20.3,511.25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,Yes,0,1,527.8,Loyal,0,0.06680319,6.68
0147-ESWWR,Female,Yes,Yes,No,39,101.25,3949.15,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,3948.75,Loyal,0,0.5267491,52.67
0148-DCDOS,Male,No,No,No,25,94.7,2362.1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes,1,1,2367.5,Loyal,1,0.49509907,49.51
0151-ONTOV,Female,No,No,No,1,70.9,70.9,Fiber optic,No,No,No,No,No,No,Month-to-month,Mailed check,No,1,1,70.9,New,1,0.7260452,72.6
0156-FVPTA,Male,No,Yes,No,22,54.2,1152.7,DSL,Yes,No,No,Yes,No,No,Month-to-month,Electronic check,Yes,0,1,1192.4,Established,1,0.4357424,43.57
0164-APGRB,Female,No,No,No,72,114.9,8496.7,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,Yes,1,0,8272.8,Loyal,0,0.012473942,1.25
0164-XAIRP,Female,No,No,No,24,19.55,470.2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),Yes,0,0,469.2,Established,0,0.013004738,1.3
0168-XZKBB,Female,No,Yes,No,19,86.85,1564.4,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Electronic check,Yes,1,1,1650.15,Established,0,0.66804296,66.8
0174-QRVVY,Male,No,Yes,Yes,71,25.35,1847.55,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No,0,0,1799.85,Loyal,0,0.00076785893,0.08
0177-PXBAT,Male,Yes,Yes,No,33,109.9,3694.7,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes,1,1,3626.7,Loyal,0,0.34297368,34.3
0178-CIIKR,Female,No,No,No,3,19.95,58.0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No,0,1,59.85,New,0,0.13376218,13.38
0178-SZBHO,Male,No,Yes,Yes,47,87.2,4017.45,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Electronic check,No,1,1,4098.4,Loyal,0,0.04115273,4.12
0181-RITDD,Male,No,Yes,Yes,62,108.15,6825.65,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Mailed check,No,1,0,6705.3,Loyal,0,0.0032250464,0.32
0186-CAERR,Male,No,No,No,71,116.3,8309.55,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),Yes,1,0,8257.3,Loyal,0,0.21416195,21.42
0187-QSXOE,Male,Yes,Yes,No,7,89.0,605.45,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,623.0,Established,0,0.7855147,78.55
0187-WZNAB,Female,No,Yes,Yes,27,74.4,1972.35,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Mailed check,No,1,1,2008.8,Loyal,0,0.06073893,6.07
0188-GWFLE,Male,No,No,No,2,20.05,33.7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No,0,1,40.1,New,0,0.18165462,18.17
0191-EQUUH,Female,No,No,Yes,25,35.05,844.45,DSL,Yes,No,No,Yes,No,No,Two year,Bank transfer (automatic),No,0,0,876.25,Loyal,0,0.009672742,0.97
0191-ZHSKZ,Male,Yes,No,No,30,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,Yes,0,1,2242.5,Loyal,0,0.27626553,27.63
0193-ESZXP,Female,Yes,Yes,No,58,105.5,6205.5,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Credit card (automatic),Yes,1,0,6119.0,Loyal,1,0.4513176,45.13
0195-IESCP,Male,No,Yes,No,10,85.25,855.3,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Electronic check,Yes,1,1,852.5,Established,1,0.80133605,80.13
0196-JTUQI,Female,No,No,No,9,75.2,633.85,Fiber optic,No,No,No,No,No,No,Month-to-month,Credit card (automatic),Yes,1,1,676.8,Established,0,0.46889707,46.89
0196-VULGZ,Female,Yes,Yes,No,6,84.35,474.9,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Electronic check,Yes,1,1,506.1,Established,1,0.8022813,80.23
0197-PNKNK,Female,No,Yes,Yes,69,84.45,5848.6,Fiber optic,Yes,No,Yes,No,No,No,One year,Bank transfer (automatic),No,1,0,5827.05,Loyal,0,0.004356934,0.44
0201-MIBOL,Female,Yes,No,No,66,102.4,6471.85,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Bank transfer (automatic),Yes,1,0,6758.4,Loyal,0,0.1164241,11.64
0201-OAMXR,Female,No,No,No,70,115.55,8127.6,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Credit card (automatic),No,1,0,8088.5,Loyal,1,0.27819434,27.82
0203-HHYIJ,Male,No,No,No,25,25.3,676.35,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No,0,0,632.5,Loyal,1,0.036810037,3.68
0206-OYVOC,Female,No,Yes,Yes,46,19.25,864.2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,Yes,0,0,885.5,Loyal,0,0.0033750962,0.34
0206-TBWLC,Female,No,Yes,No,54,114.65,6049.5,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Mailed check,Yes,1,0,6191.1,Loyal,0,0.19753699,19.75
0207-MDKNV,Female,No,No,No,15,105.1,1582.75,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,No,1,1,1576.5,Established,1,0.65441763,65.44
0208-BPQEJ,Female,No,Yes,Yes,12,19.4,198.1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),No,0,1,232.8,Established,0,0.13137583,13.14
0212-ISBBF,Female,No,No,No,22,50.35,1098.85,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,Yes,0,1,1107.7,Established,0,0.38190278,38.19
0214-JHPFW,Female,No,Yes,No,70,57.8,4039.3,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No,0,0,4046.0,Loyal,0,0.04106953,4.11
0215-BQKGS,Male,No,No,No,30,84.3,2438.6,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Credit card (automatic),Yes,1,1,2529.0,Loyal,0,0.22319956,22.32
0218-QNVAS,Male,No,Yes,Yes,71,100.55,7113.75,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Bank transfer (automatic),No,1,0,7139.05,Loyal,0,0.006048832,0.6
0219-QAERP,Male,No,Yes,No,30,19.8,576.65,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No,0,0,594.0,Loyal,0,0.022112258,2.21
0219-YTZUE,Male,No,Yes,No,4,84.8,371.9,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Bank transfer (automatic),Yes,1,1,339.2,New,1,0.8139611,81.4
0220-EBGCE,Male,No,No,No,2,85.85,167.3,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Electronic check,Yes,1,1,171.7,New,1,0.8202997,82.03
0221-NAUXK,Male,No,No,Yes,10,19.95,219.5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),Yes,0,0,199.5,Established,0,0.013578521,1.36
0221-WMXNQ,Male,Yes,No,No,4,75.35,273.4,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Electronic check,No,1,1,301.4,New,0,0.41494521,41.49
0222-CNVPT,Male,Yes,No,No,52,48.8,2555.05,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes,0,1,2537.6,Loyal,0,0.24691828,24.69
0224-HJAPT,Male,No,No,No,5,47.15,223.15,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,No,0,1,235.75,New,1,0.54418516,54.42
0224-NIJLP,Male,No,Yes,Yes,8,20.15,165.5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No,0,0,161.2,Established,0,0.0033937064,0.34
0224-RLWWD,Female,Yes,No,No,2,44.3,89.3,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,Yes,0,1,88.6,New,0,0.6857095,68.57
0225-ZORZP,Male,No,No,No,3,84.3,235.05,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Electronic check,No,1,1,252.9,New,0,0.50478536,50.48
0228-MAUWC,Male,No,No,No,19,59.55,1144.6,DSL,No,No,Yes,Yes,No,No,Month-to-month,Electronic check,No,0,1,1131.45,Established,0,0.209766,20.98
0229-LFJAF,Male,No,No,No,72,69.65,4908.25,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Bank transfer (automatic),No,0,0,5014.8,Loyal,0,0.004732581,0.47
0230-UBYPQ,Male,Yes,Yes,No,63,36.1,2298.9,DSL,Yes,No,No,Yes,No,No,One year,Bank transfer (automatic),No,0,0,2274.3,Loyal,0,0.035827395,3.58
0230-WEQUW,Male,No,Yes,No,66,56.6,3789.2,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),Yes,0,0,3735.6,Loyal,0,0.018007766,1.8
0231-LXVAP,Male,No,No,No,1,75.9,75.9,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Electronic check,Yes,1,1,75.9,New,1,0.75394315,75.39
